7,lenovo,11R8004GUS,DESKTOP,"AMD Ryzen 7 PRO 5750G with Radeon Graphics, 3.8 Ghz",16,500
8,lenovo,1577K8U,DESKTOP,i3-2120 3.30GHz,4,500
9,lenovo,1S11R8001XUS,DESKTOP,AMD Ryzen™ 5 PRO 5650G,8,256
12,lenovo,7515L2U,DESKTOP,"E3200 @ 2.40 GHz, 2394 Mhz, 2 Cores",1,250
13,lenovo,7844P7U,DESKTOP,intel Core2 Duo E7500 2.93GHz,4,500
15,lenovo,8910ASU,DESKTOP,intel Core2 Duo E7500 2.93GHz,4,287
60,lenovo,THINKBOOK 15 G4 IAP - TYPE 21DJ,LAPTOP,"12th Gen intel i5-1240P, 1.7 Ghz",8,500
61,lenovo,THINKPAD L15 GEN 2 - 20X3006XUS,LAPTOP,11th Gen i7-1165G7 2.80GHz,16,500
62,lenovo,V50T GEN 2 - 13IOB,DESKTOP,None,16,1000
63,other,VIVOBOOK FLIP 15 TP510UF,LAPTOP,intel i5-8250U 1.60 Ghz,8,2000
